GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06005","Amador, CA",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",(D),77,134,190,181,182,183,185,186,221,200,223,184,168,167,(D),210
 "06005","Amador, CA",8,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),83,89,(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,400,"23","   Construction","Number of jobs",1106,1159,1178,1311,1393,1468,1412,1256,1037,932,899,911,927,1068,1074,1006,1056
 "06005","Amador, CA",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",926,917,867,868,876,891,905,887,768,770,808,923,958,980,1034,941,931
 "06005","Amador, CA",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",309,307,326,195,187,193,174,157,(D),(D),(D),(D),194,209,(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",2338,2466,2518,2514,2513,2557,2682,2527,2247,2101,2118,2086,2105,2155,2130,2123,2151
 "06005","Amador, CA",8,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),197,202,215,255,329,231,236,254,263
 "06005","Amador, CA",8,CAEMP25N,900,"51","   Information","Number of jobs",280,270,260,262,275,262,271,268,236,233,237,205,198,212,218,203,197
 "06005","Amador, CA",8,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",443,441,464,518,509,506,503,534,622,580,642,554,524,508,562,558,569
 "06005","Amador, CA",8,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",617,597,647,656,769,764,798,734,672,667,690,694,667,725,707,706,729
 "06005","Amador, CA",8,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",770,784,792,859,876,900,948,1629,1347,1351,1420,1413,1092,1005,966,825,831
 "06005","Amador, CA",8,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",34,34,57,65,70,(D),56,75,68,(D),53,53,(D),76,(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",1146,1320,540,600,514,(D),546,506,532,(D),486,474,(D),501,(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,1500,"61","   Educational services","Number of jobs",53,(D),(D),90,(D),115,99,91,76,(D),96,103,(D),(D),(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",1411,(D),(D),1392,(D),1582,1597,1562,1611,(D),1566,1509,(D),(D),(D),(D),(D)
 "06005","Amador, CA",8,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",308,(D),(D),346,362,349,414,415,401,402,388,376,368,395,394,394,380
 "06005","Amador, CA",8,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",1050,1003,989,1139,1098,1117,1093,1053,976,920,939,991,1053,1063,1073,1083,1221
 "06005","Amador, CA",8,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",896,933,917,911,953,927,962,927,934,902,944,913,947,977,1005,1004,1012
 "06005","Amador, CA",8,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",4099,4568,4837,5232,5293,5276,5580,5746,5657,5258,4737,4393,4233,4256,4442,4679,4849
 "06005","Amador, CA",8,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",100,97,97,99,97,93,96,96,100,108,87,92,87,91,92,98,100
 "06005","Amador, CA",8,CAEMP25N,2002,"...","   Military","Number of jobs",59,60,60,59,57,56,55,56,56,55,54,54,53,52,51,52,52
 "06005","Amador, CA",8,CAEMP25N,2010,"...","   State and local","Number of jobs",3940,4411,4680,5074,5139,5127,5429,5594,5501,5095,4596,4247,4093,4113,4299,4529,4697
 "06005","Amador, CA",8,CAEMP25N,2011,"...","    State government","Number of jobs",1260,1480,1671,1829,1799,1864,2030,2138,2159,2097,1782,1593,1501,1529,1664,1853,1968
 "06005","Amador, CA",8,CAEMP25N,2012,"...","    Local government","Number of jobs",2680,2931,3009,3245,3340,3263,3399,3456,3342,2998,2814,2654,2592,2584,2635,2676,2729
 "06007","Butte, CA",8,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",99172,101094,100790,101812,103948,105268,106781,103874,99078,97799,97756,100633,104338,107497,110139,112625,114627
 "06007","Butte, CA",8,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",76941,78766,78105,78048,79251,80081,80309,78048,73527,73034,72900,75855,79410,82000,84313,86774,88316
 "06007","Butte, CA",8,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",22231,22328,22685,23764,24697,25187,26472,25826,25551,24765,24856,24778,24928,25497,25826,25851,26311
 "06007","Butte, CA",8,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",2162,2064,1844,1749,1701,1636,1707,1717,1717,1730,1735,1724,1752,1742,1768,1751,1759
 "06007","Butte, CA",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",20069,20264,20841,22015,22996,23551,24765,24109,23834,23035,23121,23054,23176,23755,24058,24100,24552
 "06007","Butte, CA",8,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",3928,4095,3785,3500,3170,2974,3174,3276,3287,3390,3422,3380,3483,3577,3610,3640,3591
 "06007","Butte, CA",8,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",95244,96999,97005,98312,100778,102294,103607,100598,95791,94409,94334,97253,100855,103920,106529,108985,111036
 "06007","Butte, CA",8,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",79555,80960,80969,82608,84738,86109,87290,84419,80409,79105,79045,81941,85638,88304,90024,92176,93987
 "06007","Butte, CA",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",1368,1388,1373,(D),1416,1252,1339,1336,1335,1320,1179,1205,1266,1373,1418,1491,1502
 "06007","Butte, CA",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",114,96,88,(D),77,129,134,167,154,204,147,215,214,211,225,235,262
 "06007","Butte, CA",8,CAEMP25N,300,"22","   Utilities","Number of jobs",405,379,376,368,351,421,530,514,(D),506,512,542,554,537,568,584,566
 "06007","Butte, CA",8,CAEMP25N,400,"23","   Construction","Number of jobs",5287,5476,5861,6544,7120,7264,6902,6215,5318,4842,4681,4660,5256,5520,5752,6031,6250
 "06007","Butte, CA",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",5203,4578,4603,4707,4764,4731,4885,4701,4339,4233,4364,4560,4838,4779,5033,5180,5278
 "06007","Butte, CA",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",1943,2039,2165,2473,2357,2395,2539,2358,2291,2238,2288,2318,2241,2591,2538,2433,2430
 "06007","Butte, CA",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",12607,13245,12962,13016,13551,13707,13469,12883,12113,12009,11942,12103,12294,12699,13169,13323,13850
